ID Geography,Geography,Food Environment Index (2014),Food Environment Index (2015),Food Environment Index (2016),Food Environment Index (2017),Food Environment Index (2018)
"05000US56045","Weston County, WY",8.444999694824219,8.100000381469727,8,8,8.100000381469727
"05000US36113","Warren County, NY",8.817000389099121,8.300000190734863,8.100000381469727,8.100000381469727,8.399999618530273
"05000US01001","Autauga County, AL",7.445000171661377,7.199999809265137,7.099999904632568,6.900000095367432,7.099999904632568
"05000US36115","Washington County, NY",8.944000244140625,8.399999618530273,8.100000381469727,8.199999809265137,8.300000190734863
"05000US36111","Ulster County, NY",8.513999938964844,8.100000381469727,7.900000095367432,8.100000381469727,8.100000381469727
"05000US01003","Baldwin County, AL",7.993000030517578,7.599999904632568,7.599999904632568,7.5,7.900000095367432
"05000US56043","Washakie County, WY",8.553999900817871,8.199999809265137,8.199999809265137,8,8.399999618530273
"05000US36109","Tompkins County, NY",8.175000190734863,7.699999809265137,7.5,7.5,7.699999809265137
"05000US36117","Wayne County, NY",9.022000312805176,8.5,8.300000190734863,8.399999618530273,8.5
"05000US01005","Barbour County, AL",5.4029998779296875,5,5.099999904632568,4.900000095367432,5.5
"05000US56041","Uinta County, WY",8.133000373840332,7.800000190734863,7.599999904632568,7.5,7.599999904632568
"05000US36107","Tioga County, NY",9.263999938964844,8.899999618530273,8.399999618530273,8.600000381469727,8.699999809265137
"05000US01007","Bibb County, AL",7.798999786376953,7.599999904632568,7.400000095367432,7.300000190734863,7.599999904632568
"05000US36119","Westchester County, NY",9.085000038146973,8.800000190734863,8.899999618530273,9,9.199999809265137
"05000US36105","Sullivan County, NY",8.081999778747559,7.599999904632568,7.5,7.599999904632568,8.199999809265137
"05000US01009","Blount County, AL",8.64799976348877,8.5,8.300000190734863,8.300000190734863,8.5
"05000US56039","Teton County, WY",7.964000225067139,7.900000095367432,7.900000095367432,8,8.199999809265137
"05000US36103","Suffolk County, NY",9.357999801635742,9.100000381469727,9.100000381469727,9.199999809265137,9.399999618530273
"05000US36121","Wyoming County, NY",8.795999526977539,8.300000190734863,8,8.100000381469727,8.199999809265137
"05000US01011","Bullock County, AL",3.7019999027252197,3.799999952316284,3.9000000953674316,3.799999952316284,4.5
"05000US56037","Sweetwater County, WY",8.427000045776367,8.199999809265137,8.199999809265137,8.100000381469727,7.900000095367432
"05000US36101","Steuben County, NY",8.501999855041504,8,7.699999809265137,7.800000190734863,8.100000381469727
"05000US01013","Butler County, AL",6.3520002365112305,6,6,6,6.5
"05000US36123","Yates County, NY",9.326000213623047,8.800000190734863,8.5,8.600000381469727,8.699999809265137
"05000US36099","Seneca County, NY",9.152000427246094,8.699999809265137,8.300000190734863,8.399999618530273,8.100000381469727
"05000US01015","Calhoun County, AL",6.642000198364258,6.400000095367432,6.199999809265137,6.099999904632568,6.800000190734863
"05000US56035","Sublette County, WY",8.881999969482422,8.699999809265137,8.5,8.300000190734863,8.399999618530273
"05000US36097","Schuyler County, NY",9.380999565124512,8.899999618530273,8.399999618530273,8.399999618530273,8.300000190734863
"05000US37001","Alamance County, NC",6.5320000648498535,6.199999809265137,6.300000190734863,6.5,7.099999904632568
"05000US01017","Chambers County, AL",6.071000099182129,5.699999809265137,5.699999809265137,5.599999904632568,6.099999904632568
"05000US56033","Sheridan County, WY",7.439000129699707,7.199999809265137,7,7,7.5
"05000US36095","Schoharie County, NY",8.95199966430664,8.5,8.199999809265137,8.300000190734863,8.199999809265137
"05000US01019","Cherokee County, AL",8.166000366210938,7.900000095367432,7.800000190734863,7.900000095367432,8.199999809265137
"05000US37003","Alexander County, NC",7.824999809265137,7.400000095367432,7.5,7.900000095367432,8
"05000US36093","Schenectady County, NY",8.10200023651123,7.599999904632568,7.400000095367432,7.5,8.100000381469727
"05000US01021","Chilton County, AL",8.104999542236328,7.900000095367432,7.800000190734863,7.800000190734863,8.199999809265137
"05000US56031","Platte County, WY",8.142999649047852,7.800000190734863,7.5,7.599999904632568,7.800000190734863
"05000US36091","Saratoga County, NY",9.333000183105469,8.899999618530273,8.600000381469727,8.699999809265137,8.800000190734863
"05000US37005","Alleghany County, NC",7.560999870300293,7.400000095367432,7.599999904632568,7.900000095367432,8.199999809265137
"05000US01023","Choctaw County, AL",6,5.900000095367432,5.800000190734863,5.400000095367432,6.199999809265137
"05000US56029","Park County, WY",7.958000183105469,7.699999809265137,7.599999904632568,7.599999904632568,8.199999809265137
"05000US36089","St. Lawrence County, NY",8.043999671936035,7.599999904632568,7.199999809265137,7.400000095367432,7.599999904632568
"05000US01025","Clarke County, AL",5.144000053405762,5.099999904632568,4.900000095367432,4.599999904632568,5.199999809265137
"05000US37007","Anson County, NC",6.229000091552734,5.900000095367432,5.900000095367432,6,6.300000190734863
"05000US36087","Rockland County, NY",8.805999755859375,8.5,8.5,8.5,8.800000190734863
"05000US01027","Clay County, AL",7.461999893188477,7.300000190734863,7.199999809265137,7.400000095367432,7.800000190734863
"05000US56027","Niobrara County, WY",7.89900016784668,7.400000095367432,7.099999904632568,7.099999904632568,7.5
"05000US36085","Richmond County, NY",9.027999877929688,8.800000190734863,8.699999809265137,8.699999809265137,9.100000381469727
"05000US37009","Ashe County, NC",7.7829999923706055,7.300000190734863,7.199999809265137,7.699999809265137,8
"05000US01029","Cleburne County, AL",8.442999839782715,8.100000381469727,7.900000095367432,7.900000095367432,8.100000381469727
"05000US56025","Natrona County, WY",7.5289998054504395,7.300000190734863,7.099999904632568,7,7.300000190734863
"05000US36083","Rensselaer County, NY",8.538000106811523,8.100000381469727,7.800000190734863,7.900000095367432,8.300000190734863
"05000US01031","Coffee County, AL",7.390999794006348,7.099999904632568,6.900000095367432,6.800000190734863,7.5
"05000US37011","Avery County, NC",7.841000080108643,7.5,7.599999904632568,8,8.300000190734863
"05000US36081","Queens County, NY",8.37600040435791,8.100000381469727,8.199999809265137,8.199999809265137,8.699999809265137
"05000US01033","Colbert County, AL",7.49399995803833,7.199999809265137,7,6.800000190734863,7.199999809265137
"05000US56023","Lincoln County, WY",8.38700008392334,8.300000190734863,8.300000190734863,8.300000190734863,8.5
